,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.url,Answer.topic,Approve,Reject
0,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,304SM51WA34BEGSVJDD8GBO1QLHBSW,A2VL807897JLT9,Approved,Wed Feb 19 06:03:57 PST 2020,Wed Feb 19 06:26:06 PST 2020,Tue Mar 10 07:26:06 PDT 2020,Tue Feb 25 14:00:24 PST 2020,,,1329,100% (1/1),100% (1/1),100% (1/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Oxygen,X,
1,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,30IQTZXKAK6IQABKF7M6V29AEX80XV,A3RQR6LM6CHOMQ,Approved,Wed Feb 19 07:00:31 PST 2020,Wed Feb 19 07:30:29 PST 2020,Tue Mar 10 08:30:29 PDT 2020,Tue Feb 25 14:00:23 PST 2020,,,1798,100% (1/1),100% (1/1),100% (1/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Economic Inequality,X,
2,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,39ZSFO5CA8WXBCIBWALPT0P2JOKJUG,A2JW59JRBWUMR2,Rejected,Wed Feb 19 06:28:39 PST 2020,Wed Feb 19 07:10:22 PST 2020,Tue Mar 10 08:10:22 PDT 2020,,Tue Feb 25 14:00:24 PST 2020,X,2503,0% (0/1),0% (0/1),0% (0/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Economic Inequality,,X
3,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,39ZSFO5CA8WXBCIBWALPT0P2JQNUJY,A3JGSSDEJ0AWTW,Approved,Wed Feb 19 09:42:25 PST 2020,Wed Feb 19 09:59:43 PST 2020,Tue Mar 10 10:59:43 PDT 2020,Tue Feb 25 14:00:24 PST 2020,,,1038,100% (1/1),100% (1/1),100% (1/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Essay about the Amazon Rainforest,,X
4,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3BWI6RSP7G9N2LKN51HNMSYQ64HE7C,A36CZ0F88ELFWF,Approved,Wed Feb 19 06:58:15 PST 2020,Wed Feb 19 07:14:50 PST 2020,Tue Mar 10 08:14:50 PDT 2020,Tue Feb 25 14:00:25 PST 2020,,,995,100% (1/1),100% (1/1),100% (1/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Economic Inequality,X,
5,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3C5W7UE9CFQFTOIR4C94TZGNJ3KMXB,A1LFKPNCX23XN6,Submitted,Tue Feb 25 17:47:44 PST 2020,Tue Feb 25 17:56:30 PST 2020,Mon Mar 16 18:56:30 PDT 2020,,,,526,0% (0/0),0% (0/0),0% (0/0),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Immune System,X,
6,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3CN4LGXD5XOOP3JV34VAQJ6WXEWY4R,AWJUGWPCUGKEG,Rejected,Wed Feb 19 06:05:43 PST 2020,Wed Feb 19 06:12:58 PST 2020,Tue Mar 10 07:12:58 PDT 2020,,Tue Feb 25 14:00:25 PST 2020,X,435,0% (0/4),0% (0/4),0% (0/4),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,European Union Law,,X
7,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3G5F9DBFOPX1XLCLD0S9D9B6M4RHV4,A1NCSZCN8EA787,Submitted,Tue Feb 25 14:55:21 PST 2020,Tue Feb 25 15:33:30 PST 2020,Mon Mar 16 16:33:30 PDT 2020,,,,2289,0% (0/0),0% (0/0),0% (0/0),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Geology,,X
8,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3IJXV6UZ1XJ9096OAY5KCONIZ9IRIX,AABCSDU3TZLNG,Approved,Wed Feb 19 06:37:02 PST 2020,Wed Feb 19 06:49:08 PST 2020,Tue Mar 10 07:49:08 PDT 2020,Tue Feb 25 14:00:23 PST 2020,,,726,100% (1/1),100% (1/1),100% (1/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Intergovernmental Panel on Climate Change,X,
9,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3K3R2QNK8B385052AYUC46BZPH09U1,A2B153AHPWHLH1,Submitted,Tue Feb 25 13:09:30 PST 2020,Tue Feb 25 13:20:07 PST 2020,Mon Mar 16 14:20:07 PDT 2020,,,,637,0% (0/0),0% (0/0),0% (0/0),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Origins of the Normans,,X
10,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3LQ8PUHQFLSWBFSLETTQYKLCC0MIHT,A1PTH9KTRO06EG,Approved,Wed Feb 19 06:09:41 PST 2020,Wed Feb 19 06:37:01 PST 2020,Tue Mar 10 07:37:01 PDT 2020,Tue Feb 25 14:00:25 PST 2020,,,1640,100% (10/10),100% (10/10),100% (10/10),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Amazon Rainforest,X,
11,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3LQ8PUHQFLSWBFSLETTQYKLCC11HI9,A2MOC4PTJYY15B,Rejected,Wed Feb 19 07:18:40 PST 2020,Wed Feb 19 08:00:07 PST 2020,Tue Mar 10 09:00:07 PDT 2020,,Tue Feb 25 13:09:28 PST 2020,He tried to cheat the system.,2487,0% (0/1),0% (0/1),0% (0/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,A2MOC4PTJYY15B,,X
12,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3WJEQKOXA8261MO90GYSPZHMK6KA1P,A17IHC8O946XPF,Submitted,Tue Feb 25 16:15:42 PST 2020,Tue Feb 25 16:45:18 PST 2020,Mon Mar 16 17:45:18 PDT 2020,,,,1776,0% (0/0),0% (0/0),0% (0/0),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Black Death,X,
13,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3WOKGM4L71GVW1XSEGZACPIH2UWO09,A3P7QP6K56ED2Z,Rejected,Wed Feb 19 07:55:52 PST 2020,Wed Feb 19 08:16:57 PST 2020,Tue Mar 10 09:16:57 PDT 2020,,Tue Feb 25 13:07:28 PST 2020,He tried to cheat the system.,1265,0% (0/2),0% (0/2),0% (0/2),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Economic Inequality,,X
14,3DQYSJDTYLBEUGSLXCGKR8FO2HUXE5,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,12,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,30BUDKLTXDV8FH64H82QO8KUHZR5EX,A2RBVMD2HTBCZ9,Submitted,Tue Feb 25 14:13:22 PST 2020,Tue Feb 25 14:22:58 PST 2020,Mon Mar 16 15:22:58 PDT 2020,,,,576,0% (0/0),0% (0/0),0% (0/0),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Private Schools,X,
15,3DQYSJDTYLBEUGSLXCGKR8FO2HUXE5,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,12,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,31LVTDXBL7ABQAEUV12X44FAGDCRLB,A21D9YDJU8K2QI,Approved,Wed Feb 19 06:48:50 PST 2020,Wed Feb 19 07:01:51 PST 2020,Tue Mar 10 08:01:51 PDT 2020,Tue Feb 25 14:00:25 PST 2020,,,781,100% (1/1),100% (1/1),100% (1/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Ecomonc inequality,,X
16,3DQYSJDTYLBEUGSLXCGKR8FO2HUXE5,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,12,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,33OOO72IVHLV3LXGMDET10Q5AQITCZ,A36W1S4Z2LSNTC,Approved,Wed Feb 19 07:05:04 PST 2020,Wed Feb 19 07:16:45 PST 2020,Tue Mar 10 08:16:45 PDT 2020,Tue Feb 25 14:00:24 PST 2020,,,701,100% (1/1),100% (1/1),100% (1/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Black Death,X,
17,3DQYSJDTYLBEUGSLXCGKR8FO2HUXE5,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,12,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3907X2AHF05KDBC783G3KDGM9VXP2S,A3HN4CIWMVWYVF,Rejected,Wed Feb 19 06:04:00 PST 2020,Wed Feb 19 06:27:53 PST 2020,Tue Mar 10 07:27:53 PDT 2020,,Tue Feb 25 14:00:25 PST 2020,X,1433,0% (0/1),0% (0/1),0% (0/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,"origins,cultural",,X
18,3DQYSJDTYLBEUGSLXCGKR8FO2HUXE5,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,12,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,39PAAFCODM0R2U3GDU9YRSEUVWBVTB,A2EED3HLTA96CP,Approved,Wed Feb 19 06:05:53 PST 2020,Wed Feb 19 06:10:13 PST 2020,Tue Mar 10 07:10:13 PDT 2020,Tue Feb 25 14:00:26 PST 2020,,,260,100% (1/1),100% (1/1),100% (1/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Amazon Rainforest,X,
19,3DQYSJDTYLBEUGSLXCGKR8FO2HUXE5,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,12,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3EQHHY4HQSS6ZV2VN3SEOB56SG9G5S,A3H2Y9ZTY867J3,Approved,Wed Feb 19 07:42:01 PST 2020,Wed Feb 19 08:21:01 PST 2020,Tue Mar 10 09:21:01 PDT 2020,Tue Feb 25 14:00:26 PST 2020,,,2340,100% (1/1),100% (1/1),100% (1/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Amazon Rainforest,X,
20,3DQYSJDTYLBEUGSLXCGKR8FO2HUXE5,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,12,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3HFNH7HEMHEVSHLT7VGHMM0XOAOGQT,A2KHMKJUVDMK1N,Rejected,Wed Feb 19 07:03:18 PST 2020,Wed Feb 19 07:31:46 PST 2020,Tue Mar 10 08:31:46 PDT 2020,,Tue Feb 25 14:00:25 PST 2020,X,1708,0% (0/1),0% (0/1),0% (0/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Amazon Rainforest,,X
21,3DQYSJDTYLBEUGSLXCGKR8FO2HUXE5,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,12,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3LPW2N6LKT2P4D3Q78HVSQ6X1NP5UG,AWN1PEZWRQSQ9,Approved,Wed Feb 19 06:27:14 PST 2020,Wed Feb 19 06:32:12 PST 2020,Tue Mar 10 07:32:12 PDT 2020,Tue Feb 25 14:00:25 PST 2020,,,298,100% (1/1),100% (1/1),100% (1/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Amazon Rainforest,X,
22,3DQYSJDTYLBEUGSLXCGKR8FO2HUXE5,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,12,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3LRLIPTPEQ987NAV8Q4AUEDLTAOAKS,A7OZPNXIVO1FX,Submitted,Tue Feb 25 14:00:45 PST 2020,Tue Feb 25 14:34:25 PST 2020,Mon Mar 16 15:34:25 PDT 2020,,,,2020,0% (0/0),0% (0/0),0% (0/0),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,European Union Law,X,
23,3DQYSJDTYLBEUGSLXCGKR8FO2HUXE5,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,12,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3QRYMNZ7FYHEUPU7B3N7HBKH9T9TNS,A1PTH9KTRO06EG,Approved,Wed Feb 19 06:10:52 PST 2020,Wed Feb 19 06:41:31 PST 2020,Tue Mar 10 07:41:31 PDT 2020,Tue Feb 25 14:00:26 PST 2020,,,1839,100% (10/10),100% (10/10),100% (10/10),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Immune System,X,
24,3DQYSJDTYLBEUGSLXCGKR8FO2HUXE5,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,12,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3SKRO2GZ71RCDZXVC7BHJDKINGP1K0,A2PBRGT71DUYOY,Approved,Wed Feb 19 06:35:59 PST 2020,Wed Feb 19 07:00:16 PST 2020,Tue Mar 10 08:00:16 PDT 2020,Tue Feb 25 14:00:26 PST 2020,,,1457,100% (1/1),100% (1/1),100% (1/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Amazon Rainforest,X,
25,3DQYSJDTYLBEUGSLXCGKR8FO2HUXE5,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,12,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3VJ40NV2QINWCAUJCINKW0KMZ3ETO7,A1WCRV1WEWA63I,Approved,Wed Feb 19 06:03:53 PST 2020,Wed Feb 19 06:20:27 PST 2020,Tue Mar 10 07:20:27 PDT 2020,Tue Feb 25 14:00:26 PST 2020,,,994,100% (1/1),100% (1/1),100% (1/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Economic Inequality,X,
26,3UAU495MIIS8P3BFML8TCDAYC1JUOE,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,13,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,34MAJL3QP4NN90M7EJ2K0PAJOE643Y,A1PTH9KTRO06EG,Approved,Wed Feb 19 06:26:22 PST 2020,Wed Feb 19 06:51:10 PST 2020,Tue Mar 10 07:51:10 PDT 2020,Tue Feb 25 14:00:26 PST 2020,,,1488,100% (10/10),100% (10/10),100% (10/10),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Oxygen,X,
